    Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | MAE_energy_grad | GPU Memory (MB)
00:38:22 |     1 |     5.000e-04 | 676046.3033 |        392.8314 |    30.5633 |         13.9584 |            2354
00:38:30 |     2 |     5.000e-04 |   263.5378 |        179.1833 |    19.5125 |          9.2113 |            2354
00:38:39 |     3 |     5.000e-04 |   145.6958 |        117.8580 |    16.4325 |          7.3335 |            2354
00:38:48 |     4 |     5.000e-04 |   101.1426 |         84.7175 |     9.6961 |          6.4958 |            2382
00:38:57 |     5 |     5.000e-04 |    79.8464 |         70.5273 |     8.3339 |          5.9873 |            2382
00:39:07 |     6 |     5.000e-04 |    67.2644 |         64.6804 |    10.4712 |          5.6080 |            2382
00:39:17 |     7 |     5.000e-04 |    59.1188 |         54.3132 |     7.5802 |          5.2669 |            2382
00:39:27 |     8 |     5.000e-04 |    52.4835 |         51.4147 |     9.3761 |          5.0020 |            2382
00:39:36 |     9 |     5.000e-04 |    48.1294 |         47.9669 |    10.5260 |          4.7392 |            2382
00:39:45 |    10 |     5.000e-04 |    44.6712 |         40.1391 |     6.4342 |          4.5367 |            2382
00:39:54 |    11 |     5.000e-04 |    40.5230 |         40.8909 |     9.8716 |          4.3623 |            2382
00:40:03 |    12 |     5.000e-04 |    38.0175 |         34.0107 |     5.6588 |          4.1967 |            2382
00:40:12 |    13 |     5.000e-04 |    34.3560 |         32.2363 |     5.2222 |          4.0625 |            2382
00:40:20 |    14 |     5.000e-04 |    32.8427 |         29.5258 |     4.9565 |          3.9060 |            2382
00:40:29 |    15 |     5.000e-04 |    30.9557 |         31.7037 |     9.2767 |          3.7892 |            2382
00:40:38 |    16 |     5.000e-04 |    28.7913 |         26.2681 |     4.9090 |          3.6873 |            2382
00:40:47 |    17 |     5.000e-04 |    26.8396 |         24.7045 |     4.2822 |          3.5794 |            2382
00:40:56 |    18 |     5.000e-04 |    25.8962 |         24.3474 |     5.5036 |          3.4905 |            2382
00:41:05 |    19 |     5.000e-04 |    25.2495 |         25.8083 |     8.4994 |          3.4202 |            2382
00:41:14 |    20 |     5.000e-04 |    24.5080 |         28.1278 |    11.6146 |          3.3340 |            2382
00:41:23 |    21 |     5.000e-04 |    22.8786 |         20.6946 |     4.0934 |          3.2604 |            2382
00:41:32 |    22 |     5.000e-04 |    22.0031 |         27.9392 |    12.7419 |          3.1963 |            2382
00:41:41 |    23 |     5.000e-04 |    22.3388 |         25.8528 |    11.9676 |          3.1427 |            2382
00:41:50 |    24 |     5.000e-04 |    21.1294 |         19.0895 |     5.5232 |          3.0531 |            2382
00:41:59 |    25 |     5.000e-04 |    18.6288 |         16.9536 |     3.3547 |          2.9790 |            2382
00:42:08 |    26 |     5.000e-04 |    18.6522 |         25.7404 |    13.6931 |          2.9047 |            2382
00:42:17 |    27 |     5.000e-04 |    19.7393 |         25.0039 |    13.0751 |          2.8566 |            2382
00:42:26 |    28 |     5.000e-04 |    22.0872 |         15.7418 |     4.2962 |          2.8157 |            2382
00:42:35 |    29 |     5.000e-04 |    29.9879 |         17.4042 |     7.1308 |          2.7552 |            2382
00:42:44 |    30 |     5.000e-04 |    19.9328 |         13.8493 |     3.0861 |          2.6885 |            2382
00:42:53 |    31 |     5.000e-04 |   176.5742 |        160.4115 |    51.3242 |          2.9220 |            2382
00:43:02 |    32 |     5.000e-04 |    62.7725 |         26.5431 |    15.9955 |          2.6811 |            2382
00:43:11 |    33 |     5.000e-04 |   273.3753 |        923.0695 |   128.4382 |          3.3213 |            2417
00:43:20 |    34 |     5.000e-04 |   147.6439 |         48.6374 |    26.0536 |          2.6242 |            2417
00:43:29 |    35 |     5.000e-04 |   101.4672 |         19.7658 |    12.6618 |          2.4719 |            2417
00:43:38 |    36 |     5.000e-04 |   175.9436 |         29.9450 |    15.9509 |          2.5893 |            2417
00:43:47 |    37 |     5.000e-04 |  1521.7093 |       1551.5592 |   170.2607 |          4.8384 |            2417
00:43:56 |    38 |     5.000e-04 |   431.5151 |         27.0664 |    13.4530 |          2.6745 |            2417
00:44:05 |    39 |     5.000e-04 |    19.3899 |         12.1902 |     3.2255 |          2.5010 |            2417
00:44:14 |    40 |     5.000e-04 |    32.1655 |         32.4113 |    18.6352 |          2.4342 |            2417
00:44:22 |    41 |     5.000e-04 |    16.3331 |         12.0406 |     4.4685 |          2.3534 |            2417
00:44:30 |    42 |     5.000e-04 |    17.1550 |         15.1389 |     7.9596 |          2.3792 |            2417
00:44:38 |    43 |     5.000e-04 |    62.4888 |         34.8354 |    21.2623 |          2.2856 |            2417
00:44:47 |    44 |     5.000e-04 |   253.3752 |        227.6541 |    64.6712 |          2.6745 |            2417
00:44:55 |    45 |     5.000e-04 |   117.3239 |          9.7716 |     3.3303 |          2.1712 |            2417
00:45:04 |    46 |     5.000e-04 |    55.7288 |         49.4105 |    21.3179 |          2.5088 |            2417
00:45:13 |    47 |     5.000e-04 |  1083.4170 |        278.9924 |    63.3135 |          3.2956 |            2417
00:45:22 |    48 |     5.000e-04 |    31.4508 |         18.4029 |    12.3585 |          2.2841 |            2417
00:45:31 |    49 |     5.000e-04 |    16.6315 |         12.7244 |     7.8291 |          2.1918 |            2417
00:45:40 |    50 |     5.000e-04 |    12.8942 |         19.1597 |    13.0292 |          2.0956 |            2417
00:45:49 |    51 |     5.000e-04 |    98.0871 |         77.9351 |    36.6821 |          2.1027 |            2417
00:45:58 |    52 |     5.000e-04 |    44.9588 |         46.7007 |    23.2257 |          2.3915 |            2417
00:46:07 |    53 |     5.000e-04 |    26.7708 |         25.6120 |    18.0030 |          1.9701 |            2417
00:46:16 |    54 |     5.000e-04 |   320.4839 |         23.2064 |    13.3644 |          2.2054 |            2417
00:46:25 |    55 |     5.000e-04 |    14.7224 |         37.4238 |    24.4150 |          1.9103 |            2417
00:46:34 |    56 |     5.000e-04 |   161.2576 |         54.8120 |    23.5306 |          3.2002 |            2417
00:46:43 |    57 |     5.000e-04 |   200.0824 |         10.1641 |     5.2676 |          2.0026 |            2417
00:46:52 |    58 |     5.000e-04 |    24.0444 |          8.5991 |     5.1122 |          1.8782 |            2417
00:47:01 |    59 |     5.000e-04 |    15.2462 |         21.0718 |    15.4200 |          1.8659 |            2417
00:47:10 |    60 |     5.000e-04 |    14.3373 |         15.3281 |    13.2352 |          1.7627 |            2417
00:47:19 |    61 |     5.000e-04 |    57.6020 |         58.4792 |    31.3869 |          1.8374 |            2417
00:47:28 |    62 |     5.000e-04 |    80.6946 |        451.0715 |    93.1537 |          1.8878 |            2417
00:47:37 |    63 |     5.000e-04 |    49.1287 |         77.8678 |    37.8067 |          1.7218 |            2417
00:47:46 |    64 |     5.000e-04 |    44.1600 |         21.8648 |    17.1656 |          1.6992 |            2417
00:47:55 |    65 |     5.000e-04 |    20.2679 |         29.6255 |    21.0643 |          1.6701 |            2417
00:48:04 |    66 |     5.000e-04 |    56.4907 |          6.6458 |     3.1208 |          1.7375 |            2417
00:48:13 |    67 |     5.000e-04 |    92.9871 |        172.3808 |    56.9552 |          1.7462 |            2417
00:48:22 |    68 |     5.000e-04 |   231.2046 |          9.3229 |     6.0718 |          1.8366 |            2417
00:48:31 |    69 |     5.000e-04 |    18.1266 |         28.5939 |    21.1738 |          1.6928 |            2417
00:48:40 |    70 |     5.000e-04 |    10.9183 |          6.0378 |     3.0362 |          1.6268 |            2417
00:48:49 |    71 |     5.000e-04 |     6.6237 |          5.1719 |     1.8884 |          1.5483 |            2417
00:48:58 |    72 |     5.000e-04 |    10.2230 |          5.7534 |     3.6824 |          1.5143 |            2417
