    Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | MAE_energy_grad | GPU Memory (MB)
00:41:09 |     1 |     5.000e-04 | 302144.3655 |        604.3437 |    40.9093 |         16.1414 |            2871
00:41:20 |     2 |     5.000e-04 |   445.7707 |        360.9926 |    38.7956 |         11.0832 |            2877
00:41:31 |     3 |     5.000e-04 |   261.8625 |        177.6178 |    20.8626 |          8.5509 |            2877
00:41:42 |     4 |     5.000e-04 |   155.8643 |        134.5500 |    21.7389 |          6.9781 |            2877
00:41:52 |     5 |     5.000e-04 |   116.0579 |        105.0121 |    22.4820 |          6.1146 |            2877
00:42:03 |     6 |     5.000e-04 |    86.2828 |         72.2081 |    11.6122 |          5.6519 |            2877
00:42:13 |     7 |     5.000e-04 |    72.2093 |         66.9477 |    13.6248 |          5.2718 |            2877
00:42:24 |     8 |     5.000e-04 |    66.8533 |         53.5260 |    10.2597 |          4.9892 |            2877
00:42:36 |     9 |     5.000e-04 |    58.0462 |         65.9528 |    20.3375 |          4.7523 |            2877
00:42:47 |    10 |     5.000e-04 |    52.2619 |         46.2413 |    10.5145 |          4.5399 |            2877
00:42:58 |    11 |     5.000e-04 |    48.0172 |         39.1507 |     8.6529 |          4.2620 |            2877
00:43:09 |    12 |     5.000e-04 |    41.4533 |         37.1794 |     9.2867 |          4.0612 |            2877
00:43:20 |    13 |     5.000e-04 |    38.2968 |         39.2572 |    12.1386 |          3.9272 |            2910
00:43:32 |    14 |     5.000e-04 |    37.1425 |         38.7468 |    13.0581 |          3.7976 |            2910
00:43:43 |    15 |     5.000e-04 |    32.6230 |         73.6604 |    30.5863 |          3.5795 |            2910
00:43:54 |    16 |     5.000e-04 |    39.6994 |         51.1308 |    23.2102 |          3.4369 |            2910
00:44:05 |    17 |     5.000e-04 |    28.5252 |         60.5090 |    27.4242 |          3.3193 |            2910
00:44:16 |    18 |     5.000e-04 |    30.2883 |         26.4459 |    10.2467 |          3.2112 |            2910
00:44:26 |    19 |     5.000e-04 |    26.2783 |         23.7865 |     8.6077 |          3.1284 |            2910
00:44:38 |    20 |     5.000e-04 |    35.4696 |         41.0221 |    20.4971 |          3.0527 |            2910
00:44:49 |    21 |     5.000e-04 |    27.3449 |         25.1814 |    11.1907 |          2.9661 |            2910
00:45:01 |    22 |     5.000e-04 |    37.0694 |        100.7583 |    40.3321 |          2.9641 |            2910
00:45:12 |    23 |     5.000e-04 |    51.2970 |         80.4665 |    35.5507 |          2.8456 |            2910
00:45:23 |    24 |     5.000e-04 |    47.9915 |         65.1980 |    30.6948 |          2.8596 |            2910
00:45:35 |    25 |     5.000e-04 |  2023.2378 |         40.1025 |    13.4302 |          3.5826 |            2910
00:45:46 |    26 |     5.000e-04 |    60.4517 |         30.4722 |    15.3408 |          2.8567 |            2910
00:45:57 |    27 |     5.000e-04 |    26.3978 |         17.0530 |     5.3708 |          2.7154 |            2910
00:46:08 |    28 |     5.000e-04 |    28.1104 |         15.1052 |     3.5763 |          2.6411 |            2910
00:46:19 |    29 |     5.000e-04 |    53.7354 |         29.8641 |    17.5385 |          2.5884 |            2910
00:46:30 |    30 |     5.000e-04 |   202.1841 |       8955.9567 |   422.6599 |          2.8113 |            2910
00:46:41 |    31 |     5.000e-04 |  1219.2269 |         29.4356 |    16.4216 |          2.6137 |            2910
00:46:52 |    32 |     5.000e-04 |    44.9347 |         57.9907 |    26.7199 |          2.5409 |            2910
00:47:03 |    33 |     5.000e-04 |    54.8747 |         12.2786 |     3.1568 |          2.3920 |            2910
00:47:14 |    34 |     5.000e-04 |   754.9507 |       3165.4101 |   233.6336 |          5.6184 |            2910
00:47:25 |    35 |     5.000e-04 |  1072.8070 |         16.4938 |     6.1881 |          2.5695 |            2910
00:47:35 |    36 |     5.000e-04 |    17.1153 |         17.8480 |     8.9614 |          2.3720 |            2910
00:47:45 |    37 |     5.000e-04 |    16.0967 |         12.4528 |     5.7731 |          2.2604 |            2910
00:47:56 |    38 |     5.000e-04 |    16.5827 |         21.8587 |    15.1558 |          2.1979 |            2910
00:48:07 |    39 |     5.000e-04 |    25.7840 |        511.8275 |    98.8953 |          2.4387 |            2910
00:48:17 |    40 |     5.000e-04 |   158.4363 |        178.6729 |    57.9718 |          2.1903 |            2910
00:48:28 |    41 |     5.000e-04 |   196.2105 |        528.2505 |    88.0180 |          3.7242 |            2910
00:48:38 |    42 |     5.000e-04 |   123.6612 |         25.5878 |    17.6357 |          2.1149 |            2910
00:48:48 |    43 |     5.000e-04 |   428.9178 |        244.0574 |    61.1553 |          2.6741 |            2910
00:48:58 |    44 |     5.000e-04 |    68.4078 |         11.8170 |     5.9535 |          2.1342 |            2910
00:49:10 |    45 |     5.000e-04 |    18.9383 |         10.6457 |     5.6670 |          2.0229 |            2910
00:49:20 |    46 |     5.000e-04 |    36.8751 |         11.2232 |     6.0079 |          2.0597 |            2910
00:49:31 |    47 |     5.000e-04 |    27.2817 |        153.2350 |    51.7664 |          2.0543 |            2910
00:49:42 |    48 |     5.000e-04 |   167.8997 |         89.6031 |    39.9729 |          2.0245 |            2910
00:49:53 |    49 |     5.000e-04 |    73.1069 |         10.0193 |     4.9188 |          1.9930 |            2910
00:50:05 |    50 |     5.000e-04 |    18.8965 |         14.1606 |    10.1750 |          1.8921 |            2910
00:50:15 |    51 |     5.000e-04 |    31.4578 |         58.6068 |    31.7840 |          1.8698 |            2910
00:50:26 |    52 |     5.000e-04 |   660.8329 |       1548.6162 |   171.1703 |          4.1682 |            2910
00:50:37 |    53 |     5.000e-04 |    55.3013 |          9.9678 |     2.8701 |          2.1028 |            2910
00:50:49 |    54 |     5.000e-04 |    10.0648 |         14.9090 |    11.3560 |          1.9323 |            2910
00:51:01 |    55 |     5.000e-04 |    12.8231 |         25.3351 |    18.6834 |          1.8954 |            2910
00:51:12 |    56 |     5.000e-04 |     9.4502 |          7.2405 |     2.9529 |          1.7934 |            2910
00:51:23 |    57 |     5.000e-04 |     9.5781 |          6.7045 |     2.6465 |          1.7360 |            2910
00:51:33 |    58 |     5.000e-04 |     8.5719 |         12.6729 |    11.3485 |          1.6950 |            2910
00:51:43 |    59 |     5.000e-04 |     8.3117 |          5.9090 |     1.5487 |          1.6560 |            2910
00:51:53 |    60 |     5.000e-04 |    22.2468 |         40.2252 |    25.0590 |          1.7442 |            2910
00:52:04 |    61 |     5.000e-04 |    43.4301 |        108.7819 |    44.0402 |          1.7870 |            2910
00:52:15 |    62 |     5.000e-04 |    33.5421 |         26.6696 |    20.3698 |          1.6362 |            2910
00:52:26 |    63 |     5.000e-04 |     9.6622 |         25.1102 |    19.7869 |          1.5861 |            2910
00:52:36 |    64 |     5.000e-04 |    49.0011 |         14.7452 |    13.2069 |          1.6606 |            2910
00:52:47 |    65 |     5.000e-04 |    65.0154 |         59.1503 |    30.0943 |          1.9887 |            2910
00:52:58 |    66 |     5.000e-04 |    14.4309 |          6.0463 |     3.2688 |          1.5918 |            2910
00:53:09 |    67 |     5.000e-04 |   106.0051 |         20.0754 |    16.2921 |          1.7259 |            2910
00:53:20 |    68 |     5.000e-04 |     6.7195 |          8.9559 |     8.3364 |          1.5660 |            2910
00:53:31 |    69 |     5.000e-04 |     7.1057 |          5.1783 |     2.5797 |          1.4953 |            2910
00:53:41 |    70 |     5.000e-04 |     9.3203 |          6.6401 |     6.5688 |          1.4383 |            2910
00:53:52 |    71 |     5.000e-04 |     4.7958 |          4.1823 |     1.7832 |          1.3719 |            2910
00:54:02 |    72 |     5.000e-04 |     7.3224 |         32.8884 |    23.7778 |          1.3815 |            2910
00:54:13 |    73 |     5.000e-04 |    31.1611 |          6.9904 |     7.3362 |          1.3893 |            2910
00:54:23 |    74 |     5.000e-04 |    72.4122 |         16.7046 |    13.4252 |          1.6332 |            2910
00:54:34 |    75 |     5.000e-04 |    18.3296 |          9.2146 |     8.1523 |          1.4383 |            2910
00:54:45 |    76 |     5.000e-04 |     8.2331 |          3.9287 |     1.8759 |          1.3344 |            2910
00:54:56 |    77 |     5.000e-04 |     5.3405 |          6.4358 |     7.0457 |          1.2940 |            2910
00:55:07 |    78 |     5.000e-04 |    11.1817 |         16.1420 |    15.2218 |          1.3233 |            2910
00:55:17 |    79 |     5.000e-04 |     8.7290 |          5.1543 |     4.1878 |          1.3787 |            2910
00:55:28 |    80 |     5.000e-04 |    30.5630 |         31.7280 |    20.3164 |          1.7948 |            2910
00:55:39 |    81 |     5.000e-04 | 231617.2305 |        286.2235 |    46.1675 |          8.4828 |            2910
00:55:50 |    82 |     5.000e-04 |   141.0687 |        103.9072 |    23.9334 |          5.9324 |            2910
00:56:01 |    83 |     5.000e-04 |    76.5397 |         64.0439 |    12.2790 |          5.3518 |            2910
00:56:12 |    84 |     5.000e-04 |    58.3577 |         52.6384 |    10.2264 |          4.9148 |            2910
00:56:22 |    85 |     5.000e-04 |    49.6564 |         49.0228 |    12.2687 |          4.5639 |            2910
00:56:34 |    86 |     5.000e-04 |    43.5022 |         40.0933 |     8.7112 |          4.2536 |            2910
00:56:45 |    87 |     5.000e-04 |    38.1567 |         35.0850 |     7.5125 |          4.0039 |            2910
00:56:56 |    88 |     5.000e-04 |    32.9119 |         30.9730 |     6.6944 |          3.7753 |            2910
00:57:08 |    89 |     5.000e-04 |    29.3228 |         28.1808 |     6.1438 |          3.6119 |            2910
00:57:18 |    90 |     5.000e-04 |    28.2123 |         26.7005 |     6.6168 |          3.4621 |            2910
00:57:29 |    91 |     5.000e-04 |    24.7276 |         24.2619 |     6.2703 |          3.3212 |            2910
00:57:40 |    92 |     5.000e-04 |    22.8811 |         22.2625 |     5.1133 |          3.2152 |            2910
00:57:51 |    93 |     5.000e-04 |    21.3990 |         21.3235 |     5.7680 |          3.1250 |            2910
00:58:02 |    94 |     5.000e-04 |    19.9034 |         19.7031 |     5.3393 |          3.0256 |            2910
00:58:12 |    95 |     5.000e-04 |    18.8242 |         18.2797 |     4.7251 |          2.9382 |            2910
00:58:23 |    96 |     5.000e-04 |    18.1771 |         16.9952 |     3.6811 |          2.8627 |            2910
00:58:33 |    97 |     5.000e-04 |    17.4860 |         16.7205 |     4.8992 |          2.7897 |            2910
00:58:43 |    98 |     5.000e-04 |    15.8681 |         16.7075 |     5.7064 |          2.7133 |            2910
00:58:54 |    99 |     5.000e-04 |    14.9081 |         15.6396 |     4.9546 |          2.6555 |            2910
00:59:04 |   100 |     5.000e-04 |    15.7113 |         14.5439 |     4.4972 |          2.5817 |            2910
00:59:16 |   101 |     5.000e-04 |    13.4889 |         16.6190 |     8.5959 |          2.5235 |            2910
00:59:27 |   102 |     5.000e-04 |    13.1618 |         12.6678 |     3.2967 |          2.4660 |            2910
00:59:39 |   103 |     5.000e-04 |    12.5406 |         12.1551 |     2.9695 |          2.4149 |            2910
