    Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | MAE_energy_grad | GPU Memory (MB)
00:39:59 |     1 |     5.000e-04 | 223714.4057 |        500.3978 |    35.1413 |         15.4199 |            2318
00:40:08 |     2 |     5.000e-04 |   308.8883 |        220.3101 |    22.4346 |         10.3326 |            2318
00:40:18 |     3 |     5.000e-04 |   169.6465 |        139.1041 |    15.1586 |          8.4322 |            2318
00:40:27 |     4 |     5.000e-04 |   117.9497 |        107.7901 |    14.0486 |          7.3366 |            2348
00:40:36 |     5 |     5.000e-04 |    89.3027 |         82.9840 |    10.6094 |          6.5528 |            2348
00:40:45 |     6 |     5.000e-04 |    73.4066 |         67.4403 |     8.0926 |          5.9596 |            2348
00:40:54 |     7 |     5.000e-04 |    60.0398 |         57.5071 |     7.8096 |          5.4488 |            2348
00:41:03 |     8 |     5.000e-04 |    50.7325 |         49.6229 |     7.4455 |          5.0544 |            2348
00:41:11 |     9 |     5.000e-04 |    44.5323 |         44.9104 |     8.2878 |          4.7431 |            2348
00:41:20 |    10 |     5.000e-04 |    38.9653 |         40.8677 |     8.4445 |          4.4853 |            2348
00:41:29 |    11 |     5.000e-04 |    37.4866 |         35.0522 |     5.0704 |          4.2826 |            2348
00:41:38 |    12 |     5.000e-04 |    32.9764 |         31.8489 |     4.3608 |          4.1089 |            2348
00:41:47 |    13 |     5.000e-04 |    30.8055 |         36.6467 |    12.1453 |          3.9630 |            2348
00:41:56 |    14 |     5.000e-04 |    28.3730 |         29.2136 |     5.9708 |          3.8314 |            2353
00:42:05 |    15 |     5.000e-04 |    27.1712 |         26.5500 |     4.5374 |          3.7176 |            2354
00:42:14 |    16 |     5.000e-04 |    27.6088 |         24.4093 |     3.1311 |          3.6162 |            2354
00:42:22 |    17 |     5.000e-04 |    24.8118 |         25.2969 |     7.0416 |          3.5076 |            2354
00:42:31 |    18 |     5.000e-04 |    23.6008 |         22.7657 |     4.6513 |          3.4160 |            2354
00:42:40 |    19 |     5.000e-04 |    23.4008 |         24.8222 |     8.9215 |          3.3300 |            2355
00:42:48 |    20 |     5.000e-04 |    25.3692 |         19.8596 |     2.6780 |          3.2494 |            2355
00:42:57 |    21 |     5.000e-04 |    21.1063 |         20.2093 |     5.0367 |          3.1761 |            2355
00:43:06 |    22 |     5.000e-04 |    24.7011 |         18.7128 |     3.7539 |          3.1095 |            2355
00:43:15 |    23 |     5.000e-04 |   101.4492 |        270.9540 |    70.1994 |          3.4487 |            2355
00:43:25 |    24 |     5.000e-04 |   102.1457 |         96.9463 |    39.5981 |          3.0122 |            2355
00:43:34 |    25 |     5.000e-04 |    82.0134 |        200.1188 |    60.5909 |          2.9481 |            2355
00:43:43 |    26 |     5.000e-04 |   702.1840 |        255.2446 |    65.1064 |          3.3613 |            2355
00:43:52 |    27 |     5.000e-04 |   716.1163 |        153.9219 |    38.8497 |          3.5831 |            2355
00:44:01 |    28 |     5.000e-04 |   289.6327 |        466.7366 |    92.8203 |          4.1108 |            2355
00:44:10 |    29 |     5.000e-04 |   702.5594 |        909.3139 |   132.4390 |          3.3943 |            2370
00:44:19 |    30 |     5.000e-04 |   245.0337 |         25.3370 |    11.8542 |          2.8125 |            2370
00:44:28 |    31 |     5.000e-04 |   744.5375 |       3889.3623 |   266.7342 |          4.4410 |            2370
00:44:37 |    32 |     5.000e-04 |   564.6069 |         39.1178 |    20.8576 |          2.8300 |            2370
00:44:46 |    33 |     5.000e-04 |    20.1240 |         14.1618 |     3.3155 |          2.6525 |            2370
00:44:56 |    34 |     5.000e-04 |    33.7816 |         15.5358 |     6.4551 |          2.5873 |            2370
00:45:05 |    35 |     5.000e-04 |  1141.2113 |         47.8083 |    22.8754 |          3.0371 |            2370
00:45:14 |    36 |     5.000e-04 |    22.2214 |         13.5288 |     3.5917 |          2.5504 |            2370
00:45:23 |    37 |     5.000e-04 |    20.5861 |         20.8513 |    11.3555 |          2.5548 |            2370
00:45:32 |    38 |     5.000e-04 |   396.5480 |       1384.3302 |   164.6325 |          3.0803 |            2370
00:45:41 |    39 |     5.000e-04 |   351.7196 |         14.5662 |     5.1127 |          2.5509 |            2370
00:45:50 |    40 |     5.000e-04 |    17.5640 |         43.3655 |    25.2597 |          2.3912 |            2370
00:45:58 |    41 |     5.000e-04 |   995.6541 |        143.2870 |    43.0814 |          3.2671 |            2370
00:46:07 |    42 |     5.000e-04 |    33.9481 |         13.9774 |     6.7550 |          2.4223 |            2370
